,Text,id_tweet,Tweet_Date,Follower_count,cleaned_text,prediction
0,"@ameristralia316 @jeremyrhammond @jarue369 @Corine15671184 @SwarogRodPerun @1196633ei @manceraymond @Picodegallo87 ""that the ""covid  virus"" has never been properly isolated""

EXCEPT here

https://t.co/J1zZQAmMAd 
&amp;
https://t.co/8Y8rGBhnO7
&amp;
https://t.co/eC8igk8reO
&amp;
https://t.co/CAimFbHIzF
&amp;
https://t.co/lP0MVhpwH5
&amp;
https://t.co/fwXoW4wP6a

&amp; ~4000 more papers

#SARSCoV2 #COVID19",1466929470724399107,2021-12-04 00:36:54,541,covid viru never properli isolatedexcept amp amp amp amp amp amp paper sarscov covid,0
1,@Warish73 @StanleyRobertsU @AshDom12 &amp; folks can follow @COVIDPoops19 to find out about more widespread implementations of wastewater #COVID19 detection. I have also been very impressed with the wastewater research &amp; results in #COVID19 identification by @UCSanDiego,1466929406006292483,2021-12-04 00:36:39,4196,amp folk follow find widespread implement wastewat covid detect also impress wastewat research amp result covid identif,0
2,"@HonTonyAbbott @GregHuntMP When will Greg Hunt apologise to the families who have lost loved ones due to his incompetence 😥
#COVID19  #covidvariant",1466929401249947651,2021-12-04 00:36:38,2131,greg hunt apologis famili lost love one due incompet covid covidvari,0
3,"Healthcare workers, do you plan to wear masks in your work (healthcare setting): (I define pandemic being ""over"" as when #COVID19 becomes similar to a yearly influenza and is not generally overwhelming our hospitals with intubated ICU patients)",1466929318462906373,2021-12-04 00:36:18,1590,healthcar worker plan wear mask work healthcar set defin pandem covid becom similar yearli influenza gener overwhelm hospit intub icu patient,0
4,"@CBSEveningNews @CBSNews So many mutations mean this variant was born in a long-duration infected host, thus who survived long enough. As it does not come from US life-assisted ICU but South Africa full of immunology-suppressed people, I guess this variant at last is harmless #COVID19 #Omicron",1466929214943342595,2021-12-04 00:35:53,17,mani mutat mean variant born long durat infect host thu surviv long enough come us life assist icu south africa full immunolog suppress peopl guess variant last harmless covid omicron,0
5,"#BREAKING: South Korean health officials have confirmed 5,352 new cases of #COVID19, with 70 deaths.",1466929202570141699,2021-12-04 00:35:50,1902,break south korean health offici confirm new case covid death,0
6,"#COVID19 
1/21/20: U.S/S.Korea 1st Covid case,where similarities end
2/27/20: S.Korea mitigation: drive thru 24 hr test, quarantine+, tracing 
1/21/21: U.S Trump actively suppressed tests,long wait for results,no quarantine/tracing

12/3/21:Deaths per 100,000 
U.S 235
S.Korea 6.9",1466929196706451459,2021-12-04 00:35:49,69952,covid u korea st covid case similar end korea mitig drive thru hr test quarantin trace u trump activ suppress test long wait result quarantin trace death per u korea,0
7,Are proponents of delusional #herdImmunity going out in public and intentionally  spreading #COVID19 ?,1466929117585031172,2021-12-04 00:35:30,26,propon delusion herdimmun go public intent spread covid,0
8,@MysticMysts @thomaskaine5 At least he’s helping in #COVID19 right? Probably not.,1466929114040864774,2021-12-04 00:35:29,293,least help covid right probabl,0
9,"@SethAbramson The @GOP's desire to control women's health has always been about controlling minorities and the people who most likely vote them out of office. They don't care about life, just look at everything else they do. They support #COVID19 spreading to cause disruption and don't govern.",1466929081161637888,2021-12-04 00:35:21,81,desir control women health alway control minor peopl like vote offic care life look everyth els support covid spread caus disrupt govern,0
10,"2021.12.03
#Friday! 2 more weeks until a proper break. #ChristmasTree weekend probably.

#TyrannosaurusTeacher #Education #Teaching #teachinginapandemic #COVID19",1466929056230752265,2021-12-04 00:35:15,8,friday week proper break christmastre weekend probabl tyrannosaurusteach educ teach teachinginapandem covid,0
11,"@TowalkwithHim &amp; Mr Patrick King is either really stupid,
OR he thinks his audience is!

The court did NOT declare #SARSCoV2 wasn't isolated

He tried offering the silly FOI in his defence
It was rejected
He paid the fine + more

#COVID19",1466928919861338112,2021-12-04 00:34:43,541,amp mr patrick king either realli stupid think audienc court declar sarscov isolatedh tri offer silli foi defenceit rejectedh paid fine covid,0
12,"Remembering my mom,dad and brother today. 

I said goodbye to my mom via FaceTime December 4th,2020 as she passed from #Covid19. My dad killed by a drunk driver, December 4th,1989.",1466928868258828290,2021-12-04 00:34:31,12470,rememb mom dad brother today said goodby mom via facetim decemb th pass covid dad kill drunk driver decemb th,0
13,"@BBCNews So many mutations mean this variant was born in a long-duration infected host, thus who survived long enough. As it does not come from US life-assisted ICU but South Africa full of immunology-suppressed people, I guess this variant at last is harmless #COVID19 #Omicron",1466928697919913987,2021-12-04 00:33:50,17,mani mutat mean variant born long durat infect host thu surviv long enough come us life assist icu south africa full immunolog suppress peopl guess variant last harmless covid omicron,0
14,If my #nonspeaking #autistic #daughter got #COVID19  and got the common side effect of losing her sense of taste and smell or the worse side effect of having her food taste like sewerage she would not understand and would end up in hospital👏think 👏about👏the👏vulnerable #autism,1466928667020255238,2021-12-04 00:33:43,430,nonspeak autist daughter got covid got common side effect lose sens tast smell wors side effect food tast like sewerag would understand would end hospit think vulner autism,0
15,"...
90 in Gyeongbuk (87 acquired locally)
114 in Gyeongnam (114 acquired locally)
21 in Jeju (21 acquired locally)

#coronavirus #COVID19 #COVID19korea #covid",1466928536003158022,2021-12-04 00:33:11,2022,gyeongbuk acquir local gyeongnam acquir local jeju acquir local coronaviru covid covid korea covid,0
16,"@nytimes So many mutations mean this variant was born in a long-duration infected host, thus who survived long enough. As it does not come from US life-assisted ICU but South Africa full of immunology-suppressed people, I guess this variant at last is harmless #COVID19 #Omicron",1466928492046692354,2021-12-04 00:33:01,17,mani mutat mean variant born long durat infect host thu surviv long enough come us life assist icu south africa full immunolog suppress peopl guess variant last harmless covid omicron,0
